"Permit #","Issued Date","Permit Type","Permit Sub Type","Address","Description","Contractor Name","RECORDID"
"BLDG20-0177","01/30/2020","RESIDENTIAL COUNTER","FURNACE AND AIR CONDITIONER","9044 VANCE ST #101","Replacing Like For Like","PEAK MECHANICAL LLC","ECON:200110022442987"
"BLDG20-0293","01/30/2020","COMMERCIAL TRAILER","CONSTRUCTION TRAILER","3101 W 97TH AVE BLDG 5","12' x 48' mobile office W/ OSH...","B C BUILDERS LLC","ECON:200116023134919"
"BLDG20-0331","01/30/2020","RESIDENTIAL COUNTER","WATER HEATER","1133 W 124TH CT","REPLACE WATER HEATER","NORTHERN COLORADO AIR INC","EPRS:200121112848105"
"BLDG20-0359","01/30/2020","RESIDENTIAL INTERIOR","INTERIOR REMODEL","7378 ELIOT ST","New Drywall, finishes, minor p...","Ridge Construction Inc","ECON:200122094615722"
"BLDG20-0436","01/30/2020","RESIDENTIAL BUILDING","BUILDING","9285 W 91ST PL","foundation stabilization","COMPLETE BASEMENT SYSTEMS INC","ECON:200127094003029"
"BLDG20-0461","01/30/2020","RESIDENTIAL COUNTER","WATER HEATER","8480 SHERIDAN BLVD BLDG A","Replace 100 gallon, 199,999 BT...","MASTER ROOTER PLUMBING LLC","ECON:200128084830235"
"BLDG20-0471","01/30/2020","RESIDENTIAL COUNTER","FURNACE AND AIR CONDITIONER","8470 SHERIDAN BLVD #C103","Replacing Like For Like 40,000...","PEAK MECHANICAL LLC","ECON:200128111614325"
"BLDG20-0476","01/30/2020","RESIDENTIAL SOLAR","NEW PV INSTALL","2688 W 81ST AVE","Install a 2.900 kW grid tied, ...","FREEDOM FOREVER SOLAR","ECON:200128114407038"
"BLDG20-0497","01/30/2020","RESIDENTIAL BUILDING","BUILDING","11083 RUTGERS CT","foundation stabilization","COMPLETE BASEMENT SYSTEMS INC","ECON:200128022506583"
"BLDG20-0514","01/30/2020","RESIDENTIAL COUNTER","WATER HEATER","3551 W 95TH AVE","Remove and replace 50 gallon w...","GOLDEN WEST PLUMBING HEATING A...","ECON:200129075954054"
"BLDG20-0515","01/30/2020","RESIDENTIAL COUNTER","WATER HEATER","9032 W 88TH CIR BLDG 2","Remove and replace 40 gallon w...","GOLDEN WEST PLUMBING HEATING A...","ECON:200129084009307"
"BLDG20-0536","01/30/2020","RESIDENTIAL BUILDING","MECHANICAL","2361 W 119TH AVE","Converting owners wood burning...","The Gas Connection","ECON:200129025331825"
"BLDG20-0543","01/30/2020","RESIDENTIAL COUNTER","REROOF","10077 W 99TH PL","re-roof, complete tear off.","URBAN EXTERIORS","ECON:200130081125045"
"BLDG20-0544","01/30/2020","RESIDENTIAL COUNTER","REROOF","9505 OTIS ST","re-roof","PRIORITY ROOFING","ECON:200130081447109"
"BLDG20-0545","01/30/2020","RESIDENTIAL COUNTER","WATER HEATER","3515 W 110TH PL","Replace water heaters","C.M. Enterprises","ECON:200130083420276"
"BLDG20-0549","01/30/2020","COMMERCIAL","WATER REPAIR","8001 FEDERAL BLVD","80ft water line repair","MASTER ROOTER PLUMBING LLC","ECON:200130100134457"
"BLDG20-0552","01/30/2020","RESIDENTIAL BUILDING","ELECTRICAL","8787 ALLISON DR #C","Installing sub panel for new A...","DIRECT ENERGY SERVICE RETAIL I...","ECON:200130105151128"
"BLDG20-0553","01/30/2020","RESIDENTIAL BUILDING","ELECTRICAL","9423 BRENTWOOD ST","PANEL AND ELECTRICAL SERVICE U...","SUPER DAVE ELECTRIC","TGAR:200130111208466"
"BLDG20-0560","01/30/2020","RESIDENTIAL COUNTER","REROOF","11273 RANCH PL","Tear off 1 layer asphalt-Insta...","AG Roofing","ECON:200130012213552"
"BLDG19-4864","01/29/2020","COMMERCIAL","BUILDING","9090 PIERCE ST","Semper HSPS, Northwest WTF, an...","STANEK CONSTRUCTORS INC","ECON:190808020509556"
"BLDG19-7990","01/29/2020","COMMERCIAL","ELECTRICAL","581 W 123RD AVE BLDG CH","Tanglewood Install 8 LED  ligh...","CHRIS ELECTRIC CO INC","ECON:191113035133487"
"BLDG19-8658","01/29/2020","COMMERCIAL","TENANT FINISH","4550 MAIN ST","TF Cava Restaurant.formerly Zo...","BATTINO CONTRACTING SOLUTIONS ...","ECON:191223010417913"
"BLDG20-0130","01/29/2020","RESIDENTIAL INTERIOR","INTERIOR REMODEL","8620 W 88TH PL","Adding wall to existing family...","Jessica Eden","EPRS:200108122651881"
"BLDG20-0254","01/29/2020","RESIDENTIAL COUNTER","FURNACE","6885 W 91ST CT #23302","replace existing furnace with ...","AFFORDABLE PLUMBING AND HEATIN...","ECON:200115015821441"
"BLDG20-0330","01/29/2020","RESIDENTIAL COUNTER","FURNACE AND AIR CONDITIONER","1133 W 124TH CT","REPLACE FURNACE AND AIR CONDIT...","NORTHERN COLORADO AIR INC","EPRS:200121112708065"
"BLDG20-0375","01/29/2020","RESIDENTIAL COUNTER","FURNACE","6880 W 91ST CT #1102","replace current furnace with n...","AFFORDABLE PLUMBING AND HEATIN...","ECON:200122021353293"
"BLDG20-0390","01/29/2020","RESIDENTIAL COUNTER","FURNACE AND AIR CONDITIONER","9943 GROVE PL","install furnace and ac with st...","AAA SERVICE PLUMBING INC","ECON:200123083305938"
"BLDG20-0398","01/29/2020","RESIDENTIAL COUNTER","SEWER REPAIR","6430 W 74TH AVE","yard permit for work in the ri...","Professional Sewer Excavation,...","ECON:200123115806304"
"BLDG20-0420","01/29/2020","RESIDENTIAL COUNTER","WATER HEATER","9247 HOLLAND ST","Boiler combination,  remove an...","EXPRESS PROS","ECON:200124013242003"
"BLDG20-0429","01/29/2020","RESIDENTIAL BUILDING","ELECTRICAL","8300 SHERIDAN BLVD #33D","Get permit and have can work i...","THOR ENTERPRISES LLC","ECON:200125034220101"
"BLDG20-0437","01/29/2020","RESIDENTIAL COUNTER","WATER HEATER","2151 W 131ST WAY","50 gallon water heater","TNT PLUMBING LLC","ECON:200127102638673"
"BLDG20-0447","01/29/2020","RESIDENTIAL BUILDING","PLUMBING","11276 XAVIER DR","Residential Gas Line for kitch...","BIG APPLE PLUMBING AND HEATING...","ECON:200127023846840"
"BLDG20-0472","01/29/2020","RESIDENTIAL COUNTER","FURNACE","7831 RALEIGH ST","replace furnace with 80000 btu...","Fix-It 247 Home sevices","ECON:200128112353550"
"BLDG20-0477","01/29/2020","RESIDENTIAL COUNTER","FURNACE","6885 W 91ST CT #20301","replace furnace same for same","AFFORDABLE PLUMBING AND HEATIN...","ECON:200128114437103"
"BLDG20-0480","01/29/2020","RESIDENTIAL COUNTER","REROOF","4975 W 107TH LOOP","reroof house with class 4 shin...","PLANET ROOFING & SOLAR","ECON:200128114643206"
"BLDG20-0485","01/29/2020","RESIDENTIAL COUNTER","REROOF","9257 HOLLAND ST","Complete re-roof","RED DIAMOND ROOFING","ECON:200128115144400"
"BLDG20-0486","01/29/2020","RESIDENTIAL COUNTER","FURNACE AND AIR CONDITIONER","10186 GREEN CT #A","install replacements","COOPER HEATING & COOLING INC","ECON:200128115359500"
"BLDG20-0487","01/29/2020","RESIDENTIAL BUILDING","MECHANICAL","11278 VRAIN DR","Add 2 supply air runs","PACIFIC AIR INCORPORATED","ECON:200128123524333"
"BLDG20-0489","01/29/2020","RESIDENTIAL COUNTER","FURNACE AND AIR CONDITIONER","11050 MEADE CT","install replacement 80% 90k bt...","COOPER HEATING & COOLING INC","ECON:200128125335629"
"BLDG20-0490","01/29/2020","RESIDENTIAL COUNTER","REROOF","9223 W 100TH CIR","Reroof 11 SQ with GAF Timberli...","ADVANCED EXTERIORS INC","ECON:200128012153827"
"BLDG20-0492","01/29/2020","RESIDENTIAL COUNTER","FURNACE AND AIR CONDITIONER","6708 W 97TH CT","Install 90,000 BTU Furnace & 3...","Four Seasons Heating Inc","ECON:200128020607260"
"BLDG20-0493","01/29/2020","RESIDENTIAL COUNTER","FURNACE","10645 NW ROUTT WAY","Furnace Replacement","DONE SERVICE GROUP INC","ECON:200128020809317"
"BLDG20-0496","01/29/2020","RESIDENTIAL COUNTER","WATER HEATER","3927 W 102ND AVE","Manuactuer Warranty Water Heat...","DONE SERVICE GROUP INC","ECON:200128022307536"
"BLDG20-0501","01/29/2020","RESIDENTIAL COUNTER","FURNACE","2820 W 116TH PL #104","Remove & replace 45k 80% effic...","Residential Comfort Services L...","ECON:200128035149533"
"BLDG20-0502","01/29/2020","RESIDENTIAL COUNTER","FURNACE","2820 W 116TH PL #204","Remove & replace 45k 80% effic...","Residential Comfort Services L...","ECON:200128035327573"
"BLDG20-0516","01/29/2020","RESIDENTIAL COUNTER","FURNACE AND AIR CONDITIONER","7831 W 90TH DR","17 seer 2 ton AC. 80% 70k BTU ...","PLUMBLINE SERVICES","ECON:200129090534510"
"BLDG20-0517","01/29/2020","RESIDENTIAL COUNTER","WATER HEATER","4901 W 93RD AVE #2217","Change out water heater","LEGACY MECHANICAL INC (PLUMBIN...","ECON:200129091747700"
"BLDG20-0518","01/29/2020","RESIDENTIAL COUNTER","FURNACE","6232 W 113TH AVE","Installing 80% Eff/70K BTU fur...","IMS HEATING & AIR INC","ECON:200129093104865"
"BLDG20-0519","01/29/2020","RESIDENTIAL COUNTER","REROOF","7878 LOWELL BLVD","Remove and replace entire roof","MIKE DOAK","TGAR:200129093842550"
"BLDG20-0520","01/29/2020","RESIDENTIAL COUNTER","WATER HEATER","9900 WESTCLIFF PKWY #1826","#1826 - replace water heater","PROCRAFT MECHANICAL INC (PLUMB...","ECON:200129094301042"
"BLDG20-0521","01/29/2020","RESIDENTIAL COUNTER","WATER HEATER","9910 WESTCLIFF PKWY #1423","#1423 - replace water heater","PROCRAFT MECHANICAL INC (PLUMB...","ECON:200129094403089"
"BLDG20-0522","01/29/2020","RESIDENTIAL COUNTER","SIDING REPLACEMENT","7878 LOWELL BLVD","FULL SIDING REPLACEMENT","","TGAR:200129094627601"
"BLDG20-0523","01/29/2020","RESIDENTIAL BUILDING","ELECTRICAL","8714 W 86TH AVE","Replace meter housing with byp...","GROSFIELD ELECTRIC CO","ECON:200129094728179"
"BLDG20-0524","01/29/2020","RESIDENTIAL COUNTER","FURNACE","8251 TENNYSON ST","Furnace replacement","MCNITT BROTHERS HTG & A/C LLC","ECON:200129095115240"
"BLDG20-0525","01/29/2020","RESIDENTIAL COUNTER","FURNACE","11601 DECATUR ST #P204","Apartment P204","SHURTLEFF MECHANICAL","ECON:200129095247287"
"BLDG20-0529","01/29/2020","RESIDENTIAL COUNTER","WATER HEATER","3516 W 75TH AVE #A","water heater install","AAA SERVICE PLUMBING INC","ECON:200129104057098"
"BLDG20-0532","01/29/2020","RESIDENTIAL COUNTER","SEWER REPAIR","11937 WYANDOT CIR","sewer repair in yard","ROTO ROOTER SERVICES CO","ECON:200129124124307"
"BLDG20-0533","01/29/2020","RESIDENTIAL COUNTER","REROOF","9588 DUDLEY DR","Tearing off existing shingles ...","VALUE ADDED SERVICES","ECON:200129010245573"
"BLDG20-0535","01/29/2020","RESIDENTIAL SOLAR","REMOVE AND REINSTALL","9012 W 92ND AVE","Reinstallation of roof mounted...","JMB Renewables LLC","ECON:200129025100785"
"BLDG20-0537","01/29/2020","RESIDENTIAL BUILDING","BUILDING","4356 W 72ND AVE","brick veneer building; interio...","MARRICK INDUSTRIES LLC dba ELI...","EPRS:200129030735156"
"BLDG20-0538","01/29/2020","RESIDENTIAL BUILDING","ELECTRICAL","4710 W 102ND PL","New 60A panel has been added,","BRS FIELD OPS LLC","ECON:200129033545520"
"BLDG18-0951","01/28/2020","COMMERCIAL SIGN","SIGN","2551 W 84TH AVE","Re-face one existing ground si...","BROOMFIELD SIGN CO INC","ECON:180301113750083"
"BLDG19-4298","01/28/2020","COMMERCIAL SIGN","SIGN","5724 W 89TH AVE","Install one new illuminated wa...","BROOMFIELD SIGN CO INC","ECON:190724023709977"
"BLDG19-5709","01/28/2020","COMMERCIAL","BUILDING","6400 W 92ND AVE","COSTCO - Remodel restrooms, RC...","JACKSON DEAN CONSTRUCTION, INC","ECON:190829122433436"
"BLDG19-8212","01/28/2020","RESIDENTIAL EXTERIOR","DECK","2400 RANCH RESERVE RDG","re-deck existing decks","SONGWOOD BUILDERS LLC","ECON:191125114628607"
"BLDG19-8388","01/28/2020","RESIDENTIAL COUNTER","REROOF","8865 W 96TH DR","reroof using asphalt dimension...","COLORADO HOME RENEWAL","ECON:191209020916338"
"BLDG19-8429","01/28/2020","RESIDENTIAL SOLAR","NEW PV INSTALL","13581 SHOSHONE ST","13 panel, fixed roof-mounted, ...","AURIC ENERGY dba AURIC SOLAR","ECON:191211090838709"
"BLDG19-8456","01/28/2020","RESIDENTIAL SOLAR","NEW PV INSTALL","13526 RARITAN ST","17 panel, fixed roof-mounted, ...","AURIC ENERGY dba AURIC SOLAR","ECON:191212093419100"
"BLDG19-8622","01/28/2020","COMMERCIAL","TENANT FINISH","10855 DOVER ST #900","Remodel of existing tenant spa...","ST. JOHN PROPERTIES, INC.","ECON:191219103924138"
"BLDG20-0314","01/28/2020","COMMERCIAL SIGN","SIGN","12061 TEJON ST #400","LED CHANNEL LETTERS ON RACEWAY","KOKIS INC DBA CORE SIGNS","ECON:200120033411452"
"BLDG20-0333","01/28/2020","RESIDENTIAL COUNTER","REROOF","7215 W 97TH PL","remove old shingles, installin...","ADVOCATE CONSTRUCTION","ECON:200121120136451"
"BLDG20-0349","01/28/2020","RESIDENTIAL COUNTER","REROOF","8280 W 93RD WAY","Atlas Storm Master Shake- Weat...","EXPERT EXTERIORS LLC","ECON:200121043843485"
"BLDG20-0351","01/28/2020","RESIDENTIAL COUNTER","REROOF","6031 W 108TH CIR","Atlas Storm Master Shake, Pewt...","EXPERT EXTERIORS LLC","ECON:200121044955673"
"BLDG20-0356","01/28/2020","RESIDENTIAL COUNTER","REROOF","9708 TELLER CT","remove old shingles, installin...","ADVOCATE CONSTRUCTION","ECON:200122085108116"
"BLDG20-0367","01/28/2020","RESIDENTIAL COUNTER","REROOF","10389 XAVIER ST","Roofing","OZONE ROOFING INC.","ECON:200122122436739"
"BLDG20-0369","01/28/2020","RESIDENTIAL COUNTER","FURNACE","7700 KNOX CT","Replace furnace 80% 50k","ARS - PLUMBING","ECON:200122125315128"
"BLDG20-0388","01/28/2020","RESIDENTIAL SOLAR","REMOVE AND REINSTALL","9823 INDEPENDENCE ST","Remove and Reinstall 8.85 kW P...","SOLARCITY CORPORATION","ECON:200123080214593"
"BLDG20-0419","01/28/2020","RESIDENTIAL COUNTER","REROOF","11352 NEWLAND ST","22.67 SQ re-roof","Property Repair Solutions LLC","ECON:200124012547957"
"BLDG20-0433","01/28/2020","RESIDENTIAL COUNTER","SEWER REPAIR","9204 W 94TH AVE","Excavate and replace 20 feet o...","ARS - PLUMBING","ECON:200127075430336"
"BLDG20-0443","01/28/2020","RESIDENTIAL SOLAR","REMOVE AND REINSTALL","10077 LEE ST","6.89kW Removal and Reinstall","ECOMARK SALES INC","ECON:200127114315332"
"BLDG20-0445","01/28/2020","RESIDENTIAL COUNTER","SEWER REPAIR","7515 CLAY ST","10' SPOT REPAIR IN FRONT YARD ...","TRENCH RIGHT","ECON:200127022402496"
"BLDG20-0446","01/28/2020","RESIDENTIAL COUNTER","WATER HEATER","8290 FEDERAL BLVD #118","Replaced existing failed 40 ga...","BROOMHALL BROTHERS","ECON:200127023015677"
"BLDG20-0448","01/28/2020","RESIDENTIAL INTERIOR","BASEMENT FINISH","5586 W 115TH PL","2 bedrooms, livingroom, bathro...","Bhuwananda Bhattarai","EPRS:200127030506621"
"BLDG20-0449","01/28/2020","RESIDENTIAL COUNTER","FURNACE AND AIR CONDITIONER","9215 DOVER WAY","16 seer 2.5 ton AC, 80% 90k BT...","PLUMBLINE SERVICES INC","ECON:200127033022032"
"BLDG20-0450","01/28/2020","RESIDENTIAL COUNTER","REROOF","10537 ROUTT LN","Re roof","JENESIS ROOFING INC","ECON:200127042236430"
"BLDG20-0453","01/28/2020","RESIDENTIAL SOLAR","NEW PV INSTALL","5585 W 96TH PL","Roof Mount, Flush Mount, Grid-...","SUNRUN INSTALLATION SERVICES I...","ECON:200127053514011"
"BLDG20-0455","01/28/2020","RESIDENTIAL SOLAR","REMOVE AND REINSTALL","10742 MOORE WAY","Remove and Reinstall 4.68 kW","SOLARCITY CORPORATION","ECON:200128070253443"
"BLDG20-0456","01/28/2020","RESIDENTIAL COUNTER","REROOF","9817 NEWLAND CT","remove old shingles, installin...","ADVOCATE CONSTRUCTION","ECON:200128080847905"
"BLDG20-0457","01/28/2020","RESIDENTIAL COUNTER","REROOF","7994 W 95TH WAY","remove old shingles, installin...","ADVOCATE CONSTRUCTION","ECON:200128081114000"
"BLDG20-0458","01/28/2020","RESIDENTIAL COUNTER","REROOF","10299 OAK ST","remove old shingles, installin...","ADVOCATE CONSTRUCTION","ECON:200128081441136"
"BLDG20-0459","01/28/2020","RESIDENTIAL COUNTER","REROOF","9630 W 105TH AVE","remove old shingles, installin...","ADVOCATE CONSTRUCTION","ECON:200128081720272"
"BLDG20-0460","01/28/2020","RESIDENTIAL COUNTER","REROOF","1286 W 133RD WAY","Reroof with Landmark shingle","Home Remodeling Technology Inc","ECON:200128084133989"
"BLDG20-0466","01/28/2020","RESIDENTIAL COUNTER","REROOF","9102 W 92ND AVE","R&R Shingles w AtlasPinnacle i...","EXPERT EXTERIORS LLC","ECON:200128101342571"
"BLDG20-0467","01/28/2020","RESIDENTIAL COUNTER","REROOF","9727 W 99TH PL","reroof 26 squares Certainteed ...","BARLO INC DBA INTERSTATE ROOFI...","ECON:200128101524650"
"BLDG20-0468","01/28/2020","RESIDENTIAL COUNTER","REROOF","9980 GARLAND LN","reroof 19 squares Certainteed ...","BARLO INC DBA INTERSTATE ROOFI...","ECON:200128101729744"
"BLDG20-0470","01/28/2020","RESIDENTIAL COUNTER","REROOF","9925 HOYT LN","Reroof house with class 4 shin...","PLANET ROOFING & SOLAR","ECON:200128110157906"
"BLDG20-0473","01/28/2020","COMMERCIAL","ELECTRICAL","4800 W 92ND AVE","Install circuit for new copier...","SINGLETRACK ELECTRIC","ECON:200128112547628"
"BLDG20-0491","01/28/2020","RESIDENTIAL COUNTER","FURNACE AND AIR CONDITIONER","5820 W 73RD AVE","install replacements","COOPER HEATING & COOLING INC","ECON:200128012643909"
"BLDG20-0494","01/28/2020","RESIDENTIAL COUNTER","WATER HEATER","7469 XAVIER ST #A","Installing 50 gallon water hea...","PLUMB PROS INC","ECON:200128020809322"
"BLDG20-0495","01/28/2020","RESIDENTIAL COUNTER","REROOF","7441 AMES ST","re roof with certainteed landm...","C&T ROOFING INC","ECON:200128020937381"
"BLDG20-0500","01/28/2020","RESIDENTIAL COUNTER","REROOF","5505 W 115TH PL","replace roof","DENVER ROOFERS LLC","ECON:200128032119272"
"BLDG19-8447","01/27/2020","RESIDENTIAL NEW","SINGLE FAMILY DETACHED","12888 FOX CT","New residential construction.","Century Communities","ECON:191211040735444"
"BLDG19-8448","01/27/2020","RESIDENTIAL NEW","SINGLE FAMILY DETACHED","12878 FOX CT","New residential construction.","Century Communities","ECON:191211041309520"
"BLDG20-0095","01/27/2020","COMMERCIAL SIGN","SIGN","9330 SHERIDAN BLVD","Install one new wall sign and ...","BROOMFIELD SIGN CO INC","ECON:200107111448486"
"BLDG20-0236","01/27/2020","RESIDENTIAL COUNTER","FURNACE","2680 W 81ST AVE","Replace existing furnace","COLORADO SERVICE TECHS INC","ECON:200114061325911"
"BLDG20-0328","01/27/2020","RESIDENTIAL COUNTER","REROOF","9359 W 104TH DR","Tear off and re-roof","C & H GROUP INC","ECON:200121103832564"
"BLDG20-0329","01/27/2020","RESIDENTIAL COUNTER","REROOF","10631 OAK ST","Tear off and re-roof","C & H GROUP INC","ECON:200121105800758"
"BLDG20-0340","01/27/2020","RESIDENTIAL MOBILE HOME","","860 W 132ND AVE #88","Mobile Home Set Up of New Home","AREA MOBILE HOME SERVICE","TGAR:200121025358319"
"BLDG20-0355","01/27/2020","RESIDENTIAL COUNTER","SIDING REPLACEMENT","9342 W 100TH CIR","Full vinyl siding replacement....","ENDEAVOR EXTERIORS","ECON:200122081734883"
"BLDG20-0363","01/27/2020","RESIDENTIAL BUILDING","BUILDING","3531 W 94TH AVE","Egress window and well install...","DISCHNER CONST SVC DBA EGRESS ...","ECON:200122111829082"
"BLDG20-0384","01/27/2020","RESIDENTIAL SOLAR","NEW PV INSTALL","10531 COUNTRYSIDE DR","Roof Mount, Flush Mount, Grid-...","SUNRUN INSTALLATION SERVICES I...","ECON:200122040510517"
"BLDG20-0403","01/27/2020","RESIDENTIAL INTERIOR","INTERIOR REMODEL","3520 WESTMINSTER PL","Bathroom remodel","WATERWORKS PLUMBING  & HEATING","ECON:200123010945189"
"BLDG20-0406","01/27/2020","RESIDENTIAL COUNTER","REROOF","8199 W 93RD CIR","R&R laminated shingle with new...","ABOVE AND BEYOND RESTORATION L...","ECON:200123021710729"
"BLDG20-0411","01/27/2020","RESIDENTIAL COUNTER","FURNACE","3322 W 113TH AVE","Furnace replacement","ELEMENTS HEATING & COOLING","ECON:200124084029897"
"BLDG20-0413","01/27/2020","RESIDENTIAL COUNTER","SEWER REPAIR","3451 KASSLER PL","Replace partial sewer in yard ...","GOLDEN WEST PLUMBING HEATING A...","ECON:200124111628671"
"BLDG20-0421","01/27/2020","RESIDENTIAL COUNTER","SEWER REPAIR","7676 BRADBURN BLVD","SPOT REPAIR ON THE SEWER SERVI...","DIG BOSS LLC","ECON:200124030307757"
"BLDG20-0422","01/27/2020","RESIDENTIAL COUNTER","REROOF","9950 PERRY CT","Re-Roof. Remove shingles & rep...","HEARTLAND CONSTRUCTION SERVICE...","ECON:200124031031860"
"BLDG20-0426","01/27/2020","RESIDENTIAL COUNTER","WATER HEATER","6969 W 90TH AVE #232","WATER HEATER REPLACEMENT","EURO PLUMBING LLC","ECON:200124043959637"
"BLDG20-0427","01/27/2020","RESIDENTIAL COUNTER","WATER HEATER","6969 W 90TH AVE #936","WATER HEATER REPLAEMENT","EURO PLUMBING LLC","ECON:200124044213671"
"BLDG20-0431","01/27/2020","RESIDENTIAL COUNTER","FURNACE","9782 QUAY LOOP","Furnace Repl","Northern Climate Control","ECON:200126030520841"
"BLDG20-0434","01/27/2020","RESIDENTIAL COUNTER","REROOF","7111 CLAY ST","Complete reroof","GROUND CONTROL AND HOMES","MSCA:200127082326447"
"BLDG20-0439","01/27/2020","RESIDENTIAL COUNTER","REROOF","9275 W 91ST AVE","Reroof Required due to Hail Da...","Joshua Beeson","EPRS:200127104243428"
"BLDG20-0440","01/27/2020","RESIDENTIAL COUNTER","FURNACE","4670 W 90TH AVE","Replace","A1 CHOICE HEATING & A/C INC","ECON:200127110129954"
"BLDG20-0441","01/27/2020","RESIDENTIAL COUNTER","FURNACE","10760 MILLER CT","Replace furnace","DELTA T HEATING & AIR","ECON:200127110924254"
"BLDG20-0444","01/27/2020","RESIDENTIAL INTERIOR","INTERIOR REMODEL","8531 LOWELL BLVD","main floor and basement finish","Lujan Investment Group","ECON:200127012805188"
"BLDG20-0451","01/27/2020","RESIDENTIAL COUNTER","WATER HEATER","10350 DOVER ST #D31","Remove and replace","PD GREENS","MSCA:200127042553511"
"BLDG20-0452","01/27/2020","RESIDENTIAL BUILDING","ELECTRICAL","5629 W 71ST CIR","200amp main panel upgrade","Emerson Energy and Electric","ECON:200127044645925"
"BLDG19-6014","01/24/2020","COMMERCIAL","TENANT FINISH","9120 WADSWORTH PKWY","Vanilla shell formerly Bad Axe","RIZE CONSTRUCTION LLC","ECON:190909105413716"
"BLDG20-0234","01/24/2020","RESIDENTIAL COUNTER","REROOF","860 W 132ND AVE #226","Strip 3 tab to decking replace...","GKC LANDSCAPING CONTRACTORS","ECON:200114042938432"
"BLDG20-0315","01/24/2020","RESIDENTIAL COUNTER","REROOF","9038 DUDLEY ST","Remove all roofing to decking ...","ARVADA ROOFING & CONSTRUCTION","ECON:200120040020797"
"BLDG20-0341","01/24/2020","RESIDENTIAL COUNTER","FURNACE","10547 IRVING CT","install a 100K BTU 80% furnace...","BROTHERS PLUMBING HEATING &  E...","ECON:200121031317335"
"BLDG20-0342","01/24/2020","RESIDENTIAL COUNTER","WATER HEATER","1117 LEXINGTON AVE","install a 75 gallon 76k BTU wa...","BROTHERS PLUMBING HEATING &  E...","ECON:200121031636381"
"BLDG20-0343","01/24/2020","RESIDENTIAL COUNTER","WATER HEATER","11218 QUIVAS LOOP","install a 50 gallon 40k BTU wa...","BROTHERS PLUMBING HEATING &  E...","ECON:200121031811422"
"BLDG20-0400","01/24/2020","RESIDENTIAL COUNTER","SEWER REPAIR","9584 W 89TH AVE","10' Long sewer service repair ...","THE ELITE PIPE MD","ECON:200123124459821"
"BLDG20-0401","01/24/2020","RESIDENTIAL SOLAR","NEW PV INSTALL","6549 W 96TH PL","8.85 kW residential solar arra...","BRS FIELD OPS LLC","ECON:200123124913925"
"BLDG20-0408","01/24/2020","RESIDENTIAL COUNTER","WATER HEATER","10253 MEADE CT","ONE WATER HEATER REPLACEMENT 5...","PROSPECT PLUMBING LLC","ECON:200123043038619"
"BLDG19-8180","01/23/2020","RESIDENTIAL COUNTER","REROOF","9034 W 103RD AVE","Re Roof","THE ROOF DR","ECON:191122092219520"
"BLDG19-8223","01/23/2020","RESIDENTIAL INTERIOR","BASEMENT FINISH","11304 QUIVAS WAY","basement finish","levi","EPRS:191125032029269"
"BLDG19-8319","01/23/2020","COMMERCIAL","BUILDING","1185 W 124TH AVE","Remodel No Metro Comm Servicee...","DEGROAT CONSTRUCTION INC","ECON:191203031548958"
"BLDG19-8332","01/23/2020","RESIDENTIAL COUNTER","REROOF","9378 W 104TH DR","Complete re-roof","Core Contractors","ECON:191204124347751"
"BLDG20-0171","01/23/2020","COMMERCIAL","REROOF","10071 WADSWORTH PKWY","Re-roof existing metal roof","AVI INC","ECON:200110121240094"
"BLDG20-0271","01/23/2020","RESIDENTIAL BUILDING","BUILDING","7941 QUITMAN ST","Foundation Stabilization","OLSHAN FOUNDATION SOLUTIONS","ECON:200116082424101"
"BLDG20-0281","01/23/2020","RESIDENTIAL COUNTER","FURNACE","4281 W 111TH CIR","install 80%80kbtu furnace with...","AAA SERVICE PLUMBING INC","ECON:200116121638919"
"BLDG20-0305","01/23/2020","RESIDENTIAL COUNTER","WATER HEATER","10350 DOVER ST #C13","40 gallon heater replacement","PD GREENS","ECON:200120081329669"
"BLDG20-0323","01/23/2020","RESIDENTIAL COUNTER","FURNACE","12154 MELODY DR #103","Remove and install 40k BTU fur...","DIRECT ENERGY SERVICE RETAIL I...","ECON:200121062917259"
"BLDG20-0327","01/23/2020","RESIDENTIAL COUNTER","WATER HEATER","8269 W 90TH PL","Replace 40 gallon electric wh ...","TYCO Plumbing","ECON:200121102106402"
"BLDG20-0335","01/23/2020","RESIDENTIAL COUNTER","FURNACE","10057 CHASE ST","REPLACE FURNACE","BURKETT HVAC INC DBA A & B MEC...","ECON:200121010150465"
"BLDG20-0336","01/23/2020","RESIDENTIAL COUNTER","WATER HEATER","5440 W 115TH LOOP","Replace 50 galon wh with new. ...","Tyco Plumbing Corp - Tyler Cou...","ECON:200121010326522"
"BLDG20-0352","01/23/2020","RESIDENTIAL INTERIOR","BASEMENT FINISH","9136 FLOWER ST","Basement finish","PRECISION RENOVATIONS LLC","ECON:200121080419802"
"BLDG20-0354","01/23/2020","RESIDENTIAL COUNTER","REROOF","8570 W 92ND PL","Remove 2 layer existing roof t...","Core Contractors","ECON:200122061950169"
"BLDG20-0360","01/23/2020","RESIDENTIAL COUNTER","FURNACE","5455 W 115TH PL","replace furnace with 80000 btu...","Fix-It 247 Home sevices","ECON:200122095618835"
