"Permit.Number","Applied","Approved","Issued.Date","Finaled","Expired","Permit.Type","Permit.Sub.Type","Status","Subdivision","Address","Description","Job.Value","CO.Issued.Date","Contractor.Name","RECORDID"
"CMIS21-00017","01/29/2021","01/29/2021","01/28/2021","02/02/2021","","COMMMISC","PLUMBING","FINALED","QUAIL RIDGE AT RALSTON","11145 RALSTON RD 214","REPLACING POLYBUTYLENE POTABLE...",5140,"","PHOENIX RENOVATION COMPANY, LL...","AH:2101290325281411"
"CMIS21-00018","01/29/2021","01/29/2021","01/28/2021","02/02/2021","","COMMMISC","PLUMBING","FINALED","QUAIL RIDGE AT RALSTON","11145 RALSTON RD 114","REPLACING POLYBUTYLENE POTABLE...",5140,"","PHOENIX RENOVATION COMPANY, LL...","AH:2101290325281412"
"CMIS21-00006","01/27/2021","01/28/2021","01/29/2021","02/22/2021","","COMMMISC","PLUMBING","FINALED","QUAIL RIDGE AT RALSTON","11135 RALSTON RD","REPLACING POLYBUTYLENE POTABLE...",5140,"","PHOENIX RENOVATION COMPANY, LL...","AH:2101270432261623"
"CMIS21-00007","01/27/2021","01/28/2021","01/28/2021","02/17/2021","","COMMMISC","PLUMBING","FINALED","QUAIL RIDGE AT RALSTON","11135 RALSTON RD 124","REPLACING POLYBUTYLENE POTABLE...",5140,"","PHOENIX RENOVATION COMPANY, LL...","AH:2101270442031694"
"CMIS21-00008","01/27/2021","01/28/2021","01/28/2021","02/17/2021","","COMMMISC","PLUMBING","FINALED","QUAIL RIDGE AT RALSTON","11135 RALSTON RD 224","REPLACING POLYBUTYLENE POTABLE...",5140,"","PHOENIX RENOVATION COMPANY, LL...","AH:2101270442031695"
"CMIS21-00009","01/27/2021","01/28/2021","01/28/2021","02/17/2021","","COMMMISC","PLUMBING","FINALED","QUAIL RIDGE AT RALSTON","11135 RALSTON RD 324","REPLACING POLYBUTYLENE POTABLE...",5140,"","PHOENIX RENOVATION COMPANY, LL...","AH:2101270442031696"
"CMIS21-00010","01/27/2021","01/28/2021","01/28/2021","02/17/2021","","COMMMISC","PLUMBING","FINALED","QUAIL RIDGE AT RALSTON","11135 RALSTON RD 122","REPLACING POLYBUTYLENE POTABLE...",5140,"","PHOENIX RENOVATION COMPANY, LL...","AH:2101270442031697"
"CMIS21-00011","01/27/2021","01/28/2021","01/28/2021","02/17/2021","","COMMMISC","PLUMBING","FINALED","QUAIL RIDGE AT RALSTON","11135 RALSTON RD 222","REPLACING POLYBUTYLENE POTABLE...",5140,"","PHOENIX RENOVATION COMPANY, LL...","AH:2101270442031698"
"CMIS21-00012","01/27/2021","01/28/2021","01/28/2021","02/17/2021","","COMMMISC","PLUMBING","FINALED","QUAIL RIDGE AT RALSTON","11135 RALSTON RD 322","REPLACING POLYBUTYLENE POTABLE...",5140,"","PHOENIX RENOVATION COMPANY, LL...","AH:2101270442031699"
"CMIS21-00002","01/08/2021","01/11/2021","01/13/2021","","07/12/2021","COMMMISC","MECHANICAL","EXPIRED","","8083 W 51ST PL","FURANCE 70K 98% AND AC 17 SEER...",12000,"","TIPPING HAT PLUMBING HEATING &...","DRO:2101081045500522"
"CMIS20-00285","12/18/2020","12/18/2020","02/09/2021","","08/08/2021","COMMMISC","MECHANICAL","EXPIRED","ASPEN BUSINESS PARK","5380 VIVIAN ST","REPLACE 2 ROOF TOP UNITS-LIKE ...",23000,"","B&B HEATING & AC","DRO:2012180912390295"
"CMIS20-00286","12/18/2020","12/18/2020","12/21/2020","12/22/2020","","COMMMISC","MECHANICAL","FINALED","","7195 SIMMS ST","REPLACE FURNACE WITH NEW 100K ...",4800,"","LAKESIDE HEATING & A/C INC","DRO:2012180153090811"
"CMIS20-00282","12/16/2020","12/16/2020","12/16/2020","","07/06/2021","COMMMISC","PLUMBING","EXPIRED","Arvada Col. Ter.","7550 GRANT PL","Installation of a 3 comp sink,...",1500,"","PROLINE PLUMBING LLC","AH:2012161036180544"
"CMIS20-00274","12/09/2020","12/09/2020","12/09/2020","01/11/2021","","COMMMISC","PLUMBING","FINALED","MAPLELEAF SUBDIVISION FILING N...","7090 SIMMS ST 106","REPLACE 40 GAL 40K BTU WATER H...",2413,"","HEART HEATING & COOLING LLC","AH:2012090937380432"
"CMIS20-00275","12/09/2020","12/09/2020","12/09/2020","","06/07/2021","COMMMISC","PLUMBING","EXPIRED","LAKE ARBOR TOWNHOMES","8778 CHASE DR 44","INSTALL A 40 GAL 40K BTU WATER...",1050,"","HEART HEATING & COOLING LLC","AH:2012091010110526"
"CMIS20-00277","12/09/2020","12/09/2020","12/09/2020","12/18/2020","","COMMMISC","MECHANICAL","FINALED","REPLAT OF LAKE ARBOR VILLAGE A...","5550 W 80TH PL 18","REPLACE 1.5 TON AIR CONDITIONE...",5400,"","OMG CONSTRUCTION","AH:2012090412301443"
"CMIS20-00263","11/09/2020","11/09/2020","11/11/2020","11/17/2020","","COMMMISC","PLUMBING","FINALED","NORTH VILLAGE APARTMENTS FILIN...","7901 W 52ND AVE 208","WATER HEATER 40 GAL",500,"","ABEYTA'S PLUMBING AND HEATING","DRO:2011091202271081"
"CMIS20-00264","11/09/2020","11/09/2020","11/11/2020","11/17/2020","","COMMMISC","PLUMBING","FINALED","COLUMBINE VILLAGE ON ALLISON M...","5340 ALLISON ST 118","WATER HEATER 40 GAL GAS",500,"","ABEYTA'S PLUMBING AND HEATING","DRO:2011091215111147"
"CMIS20-00265","11/09/2020","11/09/2020","11/11/2020","11/17/2020","","COMMMISC","PLUMBING","FINALED","COLUMBINE VILLAGE ON ALLISON M...","5340 ALLISON ST 108","WATER HEATER 40 GAL GAS",500,"","ABEYTA'S PLUMBING AND HEATING","DRO:2011091218321187"
"CMIS20-00259","10/30/2020","10/30/2020","10/30/2020","","04/28/2021","COMMMISC","MECHANICAL","EXPIRED","METZGER/MAFFEO SUBDIVISION, FI...","5450 WADSWORTH BYP","Replace like-for-like 25 TON R...",38000,"","STEEL T HEATING INC","AH:2010300233291587"
"CMIS20-00258","10/27/2020","10/27/2020","10/27/2020","10/28/2020","","COMMMISC","MECHANICAL","FINALED","THE YACHT CLUB","6830 XAVIER CIR 2","FURNACE REPLACEMENT, 66,000 BT...",3500,"","LAKESIDE HEATING & A/C INC","AH:2010270849500342"
"CMIS20-00145","09/28/2020","10/12/2020","07/13/2021","10/05/2021","","COMMMISC","MECHANICAL","FINALED","ST. ELIAS MINOR SUBDIVISION","7580 PIERCE ST","NEW EXHAUST FAN WITH SHUTTER W...",5000,"","AERO CONSTRUCTORS","DRO:2009280407132722"
"CMIS20-00095","09/18/2020","04/12/2021","07/13/2021","","01/09/2022","COMMMISC","MECHANICAL","EXPIRED","RALSTON VALLEY HIGH SCHOOL SUB...","13900 W 80TH AVE","NEW OCULUS DOME CAP W/EXHAUST ...",7500,"","AERO CONSTRUCTORS","DRO:2009180404142117"
"CMIS20-00094","09/16/2020","09/16/2020","09/16/2020","09/18/2020","","COMMMISC","PLUMBING","FINALED","2ND REPLAT OF LOT 4 NORTH PARK...","6530 WADSWORTH BLVD","REPAIR SEWER SERVICE LINE IN P...",1900,"","PROFESSIONAL SEWER EXCAVATION","AH:2009160254522342"
"CMIS20-00092","09/15/2020","09/24/2020","09/28/2020","09/30/2020","","COMMMISC","PLUMBING","FINALED","ARVADA WATER TOWER DISTRICT","7931 W 55TH AVE 306","REMOVE BATH TUB AND PUT IN SHO...",9000,"","MONACO ROBERTA","DRO:2009151144091613"
"CMIS20-00070","07/29/2020","08/03/2020","08/17/2020","08/28/2020","","COMMMISC","PLUMBING","FINALED","RIDGE PARK SUBDIVISION","5351 EVERETT ST 16","PLUMBING REMODEL OF KITCHEN AN...",3500,"","ACTION PLUMBING HEATING","DRO:2007291121080705"
"CMIS20-00071","07/29/2020","08/03/2020","08/05/2020","08/21/2020","","COMMMISC","PLUMBING","FINALED","RIDGE PARK SUBDIVISION","5351 EVERETT ST 20","PLUMBING REMODEL OF KITCHEN AN...",3500,"","ACTION PLUMBING HEATING","DRO:2007291136580796"
"CMIS20-00068","07/22/2020","07/22/2020","07/22/2020","","01/18/2021","COMMMISC","PLUMBING","EXPIRED","","14717 W 87TH PKWY","1"" IRRIGATION METER",0,"","WANER CONSTRUCTION CO INC","DRO:2007221107310720"
"CMIS20-00064","07/08/2020","07/14/2020","10/29/2020","01/04/2021","","COMMMISC","MECHANICAL","FINALED","COLUMBINE PROFESSIONAL PLAZA M...","6890 W 52ND AVE","REPLACE (2) RTU'S UNITS LIKE F...",120916,"","DESIGN MECHANICAL INC","DRO:2007080330452181"
"CMIS20-00062","07/06/2020","07/06/2020","07/08/2020","07/22/2020","","COMMMISC","MECHANICAL","FINALED","ARVADA SENIOR APARTMENTS","9555 W 59TH AVE","1,125,000 BTU BOILER REPLACEME...",5566,"","FRONTIER MECHANICAL INC","AH:2007061227521081"
"CMIS20-00057","06/30/2020","06/30/2020","07/10/2020","","01/06/2021","COMMMISC","PLUMBING","EXPIRED","ARVADA WATER TOWER DISTRICT","7703 W 55TH AVE 115","50 GAL WATER HEATER",1000,"","MASTER ROOTER PLUMBING LLC","AH:2006300903532558"
"CMIS20-00058","06/30/2020","06/30/2020","07/10/2020","","01/06/2021","COMMMISC","PLUMBING","EXPIRED","ARVADA WATER TOWER DISTRICT","7628 W 54TH AVE 201","50 GAL WATER HEATER",1000,"","MASTER ROOTER PLUMBING LLC","AH:2006300917412610"
"CMIS20-00059","06/30/2020","06/30/2020","07/10/2020","","01/06/2021","COMMMISC","PLUMBING","EXPIRED","ARVADA WATER TOWER DISTRICT","7733 W 55TH AVE 117","50 GAL WATER HEATER",1000,"","MASTER ROOTER PLUMBING LLC","AH:2006300922552654"
"CMIS20-00060","06/30/2020","07/02/2020","07/10/2020","","01/06/2021","COMMMISC","PLUMBING","EXPIRED","CREEKSIDE A PLANNED UNIT DEVEL...","5901 PIERCE ST","100 GAL, 199,000 BOILER REPLAC...",10500,"","MASTER ROOTER PLUMBING LLC","AH:2006300930312693"
"CMIS20-00053","06/17/2020","07/06/2020","08/06/2020","06/07/2021","","COMMMISC","MECHANICAL","FINALED","","6901 WADSWORTH BLVD","REPLACE BOILER,ROOFTOP UNIT,RE...",1023000,"","BRACONIER PLUMBING & HTG CO","DRO:2006171009440566"
"CMIS20-00052","06/15/2020","06/15/2020","06/16/2020","","12/13/2020","COMMMISC","MECHANICAL","EXPIRED","MAP OF NEWELLS ADDITION","5727 ALLISON ST","FURANCE 100K AND AC 2.5 TON",8795,"","COFFMAN & COMPANY HEATING AND ...","DRO:2006151253241595"
"CMIS20-00039","04/15/2020","04/15/2020","04/15/2020","","10/13/2020","COMMMISC","PLUMBING","EXPIRED","REPLAT OF TRACT A POMONA LAKES...","8001 WADSWORTH BLVD","100 GAL GAS WATER HEATER REPLA...",11500,"","KRAUS & COMPANY JETTING INC","AH:2004150837230161"
"CMIS20-00027","03/31/2020","03/31/2020","03/31/2020","","11/25/2020","COMMMISC","MECHANICAL","EXPIRED","ARBOR PLACE SUBDIVISION","7828 VANCE DR","REPLACE 2 ROOFTOP UNITS LIKE F...",15767,"","TOLIN MECHANICAL SYSTEMS CO","AH:2003311015080544"
"CMIS20-00023","03/12/2020","03/12/2020","08/03/2020","","01/30/2021","COMMMISC","PLUMBING","EXPIRED","HIGHLAND HOMES SUBDIVISION","9605 W 57TH PL","WATER HEATER 40 GAL 40K BTU LI...",2730,"","GOLDEN WEST PLUMBING HEATING &...","DRO:2003121222241053"
"CMIS20-00021","03/11/2020","03/11/2020","03/16/2020","","10/13/2020","COMMMISC","PLUMBING","EXPIRED","ARVADA MARKETPLACE FILING NO. ...","7490 W 52ND AVE","WATER HEATER 65 GAL 370K BTU L...",14400,"","KRAUS & COMPANY JETTING INC","DRO:2003110214511490"
"CMIS20-00022","03/11/2020","03/12/2020","03/12/2020","05/07/2020","","COMMMISC","MECHANICAL","FINALED","MARCELLA MANOR","6555 SCHNEIDER WAY","BOILER REPLACEMENT-IN EXISTING...",272000,"","ADVANCED HYDRONICS INC","DRO:2003110250571617"
"CMIS20-00020","03/10/2020","05/01/2020","06/16/2020","06/24/2020","","COMMMISC","MECHANICAL","FINALED","","8600 WADSWORTH BLVD A","GOLF COURSE HVAC IMPROVEMENTS",82500,"","ELITE REFRIGERATION LLC","AH:2003101043570580"
"CMIS20-00016","03/02/2020","03/02/2020","03/02/2020","04/27/2020","","COMMMISC","PLUMBING","FINALED","","13150 W 72ND AVE","WATER STORAGE TANK REPLACEMENT",39020,"","BUILDING TECHNOLOGY SYSTEMS","DRO:2003020403331930"
"CMIS20-00015","02/28/2020","02/28/2020","03/02/2020","11/24/2020","","COMMMISC","MECHANICAL","FINALED","RALSTON STATION FILING NO. 7","11702 RALSTON RD","2 - 140K RTU REPLACEMENT",5680,"","AVALANCHE A/C & HTG dba AVALAN...","AH:2002280411481950"
"CMIS20-00013","02/25/2020","02/25/2020","02/25/2020","","09/13/2020","COMMMISC","PLUMBING","EXPIRED","Arvada Col. Ter.","5760 WADSWORTH BLVD","REPLACE (2) RINNAI TANKLESS WA...",8075,"","LAKEWOOD PLUMBING LLC","DRO:2002250436132394"
"CMIS20-00010","02/24/2020","02/24/2020","02/24/2020","03/13/2020","","COMMMISC","PLUMBING","FINALED","ARVADA FAMILY HEALTH CARE CENT...","7950 KIPLING ST 102","SINK WITH UNDERSINK INJECTION",3000,"","FRONTLINE PLUMBING & DESIGN","DRO:2002241021160837"
"CMIS20-00009","02/19/2020","02/24/2020","03/03/2020","03/13/2020","","COMMMISC","MECHANICAL","FINALED","","6440 W 56TH PL","2-AC 2 TON5 TON  2-FURANCE 70K...",19276,"","ALLEN'S HEATING A/C & SM INC","DRO:2002191235511740"
"CMIS20-00003","01/21/2020","01/21/2020","01/21/2020","","07/19/2020","COMMMISC","PLUMBING","EXPIRED","ARVADA WEST TOWN CENTER FIRST ...","14575 W 64TH AVE","(2) TANKLESS WATER HEATERS-199...",8372.49,"","COLORADO MOUNTAIN MECHANICAL","DRO:2001211155561195"
"CMIS20-00004","01/21/2020","01/21/2020","01/21/2020","","07/19/2020","COMMMISC","PLUMBING","EXPIRED","ARVADA RIDGE","5095 KIPLING ST","(2) TANKLESS WATER HEATERS - 1...",7977.33,"","COLORADO MOUNTAIN MECHANICAL","DRO:2001211256091432"
"CMIS19-00090","11/08/2019","03/12/2020","03/19/2020","","09/15/2020","COMMMISC","MECHANICAL","EXPIRED","WILLOW INDUSTRIAL PARK","5861 TENNYSON ST","PRIORITY PLASTICS PROCESS CHIL...",137427,"","TOLIN MECHANICAL SYSTEMS CO","AH:1911081124000624"
"CMIS19-00084","10/16/2019","10/18/2019","06/23/2020","07/23/2020","","COMMMISC","MECHANICAL","FINALED","LAKE ARBOR FILING NO. 1","7451 W 83RD WAY","LAKE ARBOR POOL HOUSE HVAC SYS...",65831.75,"","HOLBROOK SERVICE","CP:1910160156101831"
