"Permit Number","Applied","Approved","Issued Date","Finaled","Expired","Permit Type","Permit Sub Type","Status","Subdivision","Address","Description","Job Value","CO Issued Date","Contractor Name","RECORDID"
"CMIS20-00173","09/29/2020","09/29/2020","10/01/2020","01/13/2021","","COMMERCIAL ELECTRICAL","NEW OR REPLACE SERVICE CHANGE","FINALED","A REPLAT OF CLUB CREST CONDOMI...","7801 ALLISON WAY 303","REPLACE PANEL (125 AMPS) IN UN...","317.79","","CREATIVE ELECTRIC INC","DRO:2009291005180700"
"CMIS20-00174","09/29/2020","09/29/2020","10/01/2020","01/19/2021","","COMMERCIAL ELECTRICAL","NEW OR REPLACE SERVICE CHANGE","FINALED","A REPLAT OF CLUB CREST CONDOMI...","7801 ALLISON WAY 104","REPLACE PANEL (125 AMPS) IN UN...","317.79","","CREATIVE ELECTRIC INC","DRO:2009291005260712"
"CMIS20-00175","09/29/2020","09/29/2020","10/01/2020","01/04/2021","","COMMERCIAL ELECTRICAL","NEW OR REPLACE SERVICE CHANGE","FINALED","A REPLAT OF CLUB CREST CONDOMI...","7801 ALLISON WAY 204","REPLACE PANEL (125 AMPS) IN UN...","317.79","","CREATIVE ELECTRIC INC","DRO:2009291005330724"
"CMIS20-00176","09/29/2020","09/29/2020","10/01/2020","01/19/2021","","COMMERCIAL ELECTRICAL","NEW OR REPLACE SERVICE CHANGE","FINALED","A REPLAT OF CLUB CREST CONDOMI...","7801 ALLISON WAY 304","REPLACE PANEL (125 AMPS) IN UN...","317.79","","CREATIVE ELECTRIC INC","DRO:2009291010070752"
"CMIS20-00177","09/29/2020","09/29/2020","10/01/2020","01/25/2021","","COMMERCIAL ELECTRICAL","NEW OR REPLACE SERVICE CHANGE","FINALED","A REPLAT OF CLUB CREST CONDOMI...","7801 ALLISON WAY 105","REPLACE PANEL (125 AMPS) IN UN...","317.79","","CREATIVE ELECTRIC INC","DRO:2009291010150764"
"CMIS20-00178","09/29/2020","09/29/2020","10/01/2020","","07/14/2021","COMMERCIAL ELECTRICAL","NEW OR REPLACE SERVICE CHANGE","FINALED","A REPLAT OF CLUB CREST CONDOMI...","7801 ALLISON WAY 305","REPLACE PANEL (125 AMPS) IN UN...","317.79","","CREATIVE ELECTRIC INC","DRO:2009291010240776"
"CMIS20-00179","09/29/2020","09/29/2020","10/01/2020","01/22/2021","","COMMERCIAL ELECTRICAL","NEW OR REPLACE SERVICE CHANGE","FINALED","A REPLAT OF CLUB CREST CONDOMI...","7801 ALLISON WAY 106","REPLACE PANEL (125 AMPS) IN UN...","317.79","","CREATIVE ELECTRIC INC","DRO:2009291010330788"
"CMIS20-00180","09/29/2020","09/29/2020","10/01/2020","","07/19/2021","COMMERCIAL ELECTRICAL","NEW OR REPLACE SERVICE CHANGE","FINALED","A REPLAT OF CLUB CREST CONDOMI...","7801 ALLISON WAY 206","REPLACE PANEL (125 AMPS) IN UN...","317.79","","CREATIVE ELECTRIC INC","DRO:2009291010400800"
"CMIS20-00181","09/29/2020","09/29/2020","10/01/2020","12/07/2020","","COMMERCIAL ELECTRICAL","NEW OR REPLACE SERVICE CHANGE","FINALED","A REPLAT OF CLUB CREST CONDOMI...","7801 ALLISON WAY 306","REPLACE PANEL (125 AMPS) IN UN...","317.79","","CREATIVE ELECTRIC INC","DRO:2009291010480812"
"CMIS20-00182","09/29/2020","09/29/2020","10/01/2020","01/25/2021","","COMMERCIAL ELECTRICAL","NEW OR REPLACE SERVICE CHANGE","FINALED","A REPLAT OF CLUB CREST CONDOMI...","7801 ALLISON WAY 107","REPLACE PANEL (125 AMPS) IN UN...","317.79","","CREATIVE ELECTRIC INC","DRO:2009291010550825"
"CMIS20-00183","09/29/2020","09/29/2020","10/01/2020","01/25/2021","","COMMERCIAL ELECTRICAL","NEW OR REPLACE SERVICE CHANGE","FINALED","A REPLAT OF CLUB CREST CONDOMI...","7801 ALLISON WAY 207","REPLACE PANEL (125 AMPS) IN UN...","317.79","","CREATIVE ELECTRIC INC","DRO:2009291011020837"
"CMIS20-00184","09/29/2020","09/29/2020","10/01/2020","","07/14/2021","COMMERCIAL ELECTRICAL","NEW OR REPLACE SERVICE CHANGE","FINALED","A REPLAT OF CLUB CREST CONDOMI...","7801 ALLISON WAY 307","REPLACE PANEL (125 AMPS) IN UN...","317.79","","CREATIVE ELECTRIC INC","DRO:2009291011090849"
"CMIS20-00185","09/29/2020","09/29/2020","10/01/2020","","07/19/2021","COMMERCIAL ELECTRICAL","NEW OR REPLACE SERVICE CHANGE","FINALED","A REPLAT OF CLUB CREST CONDOMI...","7801 ALLISON WAY 108","REPLACE PANEL (125 AMPS) IN UN...","317.79","","CREATIVE ELECTRIC INC","DRO:2009291011160861"
"CMIS20-00186","09/29/2020","09/29/2020","10/01/2020","01/22/2021","","COMMERCIAL ELECTRICAL","NEW OR REPLACE SERVICE CHANGE","FINALED","A REPLAT OF CLUB CREST CONDOMI...","7801 ALLISON WAY 308","REPLACE PANEL (125 AMPS) IN UN...","317.79","","CREATIVE ELECTRIC INC","DRO:2009291025320918"
"CMIS20-00100","09/28/2020","09/28/2020","10/01/2020","11/20/2020","","COMMERCIAL ELECTRICAL","NEW OR REPLACE SERVICE CHANGE","FINALED","A REPLAT OF CLUB CREST CONDOMI...","7815 ALLISON WAY 201","REPLACE PANEL (125 AMPS) IN UN...","317.79","","CREATIVE ELECTRIC INC","DRO:2009250259441747"
"CMIS20-00123","09/28/2020","09/28/2020","10/01/2020","11/06/2020","","COMMERCIAL ELECTRICAL","NEW OR REPLACE SERVICE CHANGE","FINALED","A REPLAT OF CLUB CREST CONDOMI...","7815 ALLISON WAY 101","REPLACE PANEL (125 AMPS) IN UN...","317.79","","CREATIVE ELECTRIC INC","DRO:2009250334212136"
"CMIS20-00124","09/28/2020","09/28/2020","10/01/2020","10/26/2020","","COMMERCIAL ELECTRICAL","NEW OR REPLACE SERVICE CHANGE","FINALED","A REPLAT OF CLUB CREST CONDOMI...","7815 ALLISON WAY 301","REPLACE PANEL (125 AMPS) IN UN...","317.79","","CREATIVE ELECTRIC INC","DRO:2009280157051842"
"CMIS20-00125","09/28/2020","09/28/2020","10/01/2020","11/11/2020","","COMMERCIAL ELECTRICAL","NEW OR REPLACE SERVICE CHANGE","FINALED","A REPLAT OF CLUB CREST CONDOMI...","7815 ALLISON WAY 107","REPLACE PANEL (125 AMPS) IN UN...","317.79","","CREATIVE ELECTRIC INC","DRO:2009280159591860"
"CMIS20-00126","09/28/2020","09/28/2020","10/01/2020","11/02/2020","","COMMERCIAL ELECTRICAL","NEW OR REPLACE SERVICE CHANGE","FINALED","A REPLAT OF CLUB CREST CONDOMI...","7815 ALLISON WAY 102","REPLACE PANEL (125 AMPS) IN UN...","317.79","","CREATIVE ELECTRIC INC","DRO:2009280202431876"
"CMIS20-00127","09/28/2020","09/28/2020","10/01/2020","11/04/2020","","COMMERCIAL ELECTRICAL","NEW OR REPLACE SERVICE CHANGE","FINALED","A REPLAT OF CLUB CREST CONDOMI...","7815 ALLISON WAY 202","REPLACE PANEL (125 AMPS) IN UN...","317.79","","CREATIVE ELECTRIC INC","DRO:2009280203371889"
"CMIS20-00128","09/28/2020","09/28/2020","10/01/2020","11/02/2020","","COMMERCIAL ELECTRICAL","NEW OR REPLACE SERVICE CHANGE","FINALED","A REPLAT OF CLUB CREST CONDOMI...","7815 ALLISON WAY 302","REPLACE PANEL (125 AMPS) IN UN...","317.79","","CREATIVE ELECTRIC INC","DRO:2009280204501907"
"CMIS20-00129","09/28/2020","09/28/2020","10/01/2020","11/16/2020","","COMMERCIAL ELECTRICAL","NEW OR REPLACE SERVICE CHANGE","FINALED","A REPLAT OF CLUB CREST CONDOMI...","7815 ALLISON WAY 203","REPLACE PANEL (125 AMPS) IN UN...","317.79","","CREATIVE ELECTRIC INC","DRO:2009280206031922"
"CMIS20-00130","09/28/2020","09/28/2020","10/01/2020","11/06/2020","","COMMERCIAL ELECTRICAL","NEW OR REPLACE SERVICE CHANGE","FINALED","A REPLAT OF CLUB CREST CONDOMI...","7815 ALLISON WAY 303","REPLACE PANEL (125 AMPS) IN UN...","317.79","","CREATIVE ELECTRIC INC","DRO:2009280207091935"
"CMIS20-00131","09/28/2020","09/28/2020","10/01/2020","11/02/2020","","COMMERCIAL ELECTRICAL","NEW OR REPLACE SERVICE CHANGE","FINALED","A REPLAT OF CLUB CREST CONDOMI...","7815 ALLISON WAY 104","REPLACE PANEL (125 AMPS) IN UN...","317.79","","CREATIVE ELECTRIC INC","DRO:2009280208141948"
"CMIS20-00132","09/28/2020","09/28/2020","10/01/2020","11/04/2020","","COMMERCIAL ELECTRICAL","NEW OR REPLACE SERVICE CHANGE","FINALED","A REPLAT OF CLUB CREST CONDOMI...","7815 ALLISON WAY 204","REPLACE PANEL (125 AMPS) IN UN...","317.79","","CREATIVE ELECTRIC INC","DRO:2009280208241960"
"CMIS20-00133","09/28/2020","09/28/2020","10/01/2020","10/28/2020","","COMMERCIAL ELECTRICAL","NEW OR REPLACE SERVICE CHANGE","FINALED","A REPLAT OF CLUB CREST CONDOMI...","7815 ALLISON WAY 304","REPLACE PANEL (125 AMPS) IN UN...","317.79","","CREATIVE ELECTRIC INC","DRO:2009280208361975"
"CMIS20-00134","09/28/2020","09/28/2020","10/01/2020","12/04/2020","","COMMERCIAL ELECTRICAL","NEW OR REPLACE SERVICE CHANGE","FINALED","A REPLAT OF CLUB CREST CONDOMI...","7815 ALLISON WAY 205","REPLACE PANEL (125 AMPS) IN UN...","317.79","","CREATIVE ELECTRIC INC","DRO:2009280213501998"
"CMIS20-00135","09/28/2020","09/28/2020","10/01/2020","03/22/2021","","COMMERCIAL ELECTRICAL","NEW OR REPLACE SERVICE CHANGE","FINALED","A REPLAT OF CLUB CREST CONDOMI...","7815 ALLISON WAY 305","REPLACE PANEL (125 AMPS) IN UN...","317.79","","CREATIVE ELECTRIC INC","DRO:2009280223122076"
"CMIS20-00136","09/28/2020","09/28/2020","10/01/2020","10/28/2020","","COMMERCIAL ELECTRICAL","NEW OR REPLACE SERVICE CHANGE","FINALED","A REPLAT OF CLUB CREST CONDOMI...","7815 ALLISON WAY 106","REPLACE PANEL (125 AMPS) IN UN...","317.79","","CREATIVE ELECTRIC INC","DRO:2009280223252088"
"CMIS20-00137","09/28/2020","09/28/2020","10/01/2020","","04/28/2021","COMMERCIAL ELECTRICAL","NEW OR REPLACE SERVICE CHANGE","FINALED","A REPLAT OF CLUB CREST CONDOMI...","7815 ALLISON WAY 206","REPLACE PANEL (125 AMPS) IN UN...","317.79","","CREATIVE ELECTRIC INC","DRO:2009280223352100"
"CMIS20-00138","09/28/2020","09/28/2020","10/01/2020","11/02/2020","","COMMERCIAL ELECTRICAL","NEW OR REPLACE SERVICE CHANGE","FINALED","A REPLAT OF CLUB CREST CONDOMI...","7815 ALLISON WAY 306","REPLACE PANEL (125 AMPS) IN UN...","317.79","","CREATIVE ELECTRIC INC","DRO:2009280223452112"
"CMIS20-00139","09/28/2020","09/28/2020","10/01/2020","11/16/2020","","COMMERCIAL ELECTRICAL","NEW OR REPLACE SERVICE CHANGE","FINALED","A REPLAT OF CLUB CREST CONDOMI...","7815 ALLISON WAY 207","REPLACE PANEL (125 AMPS) IN UN...","317.79","","CREATIVE ELECTRIC INC","DRO:2009280228532130"
"CMIS20-00140","09/28/2020","09/28/2020","10/01/2020","11/11/2020","","COMMERCIAL ELECTRICAL","NEW OR REPLACE SERVICE CHANGE","FINALED","A REPLAT OF CLUB CREST CONDOMI...","7815 ALLISON WAY 307","REPLACE PANEL (125 AMPS) IN UN...","317.79","","CREATIVE ELECTRIC INC","DRO:2009280229072142"
"CMIS20-00141","09/28/2020","09/28/2020","10/01/2020","10/28/2020","","COMMERCIAL ELECTRICAL","NEW OR REPLACE SERVICE CHANGE","FINALED","A REPLAT OF CLUB CREST CONDOMI...","7815 ALLISON WAY 108","REPLACE PANEL (125 AMPS) IN UN...","317.79","","CREATIVE ELECTRIC INC","DRO:2009280229152154"
"CMIS20-00142","09/28/2020","09/28/2020","10/01/2020","","04/28/2021","COMMERCIAL ELECTRICAL","NEW OR REPLACE SERVICE CHANGE","FINALED","A REPLAT OF CLUB CREST CONDOMI...","7815 ALLISON WAY 208","REPLACE PANEL (125 AMPS) IN UN...","317.79","","CREATIVE ELECTRIC INC","DRO:2009280229232166"
"CMIS20-00143","09/28/2020","09/28/2020","10/01/2020","10/28/2020","","COMMERCIAL ELECTRICAL","NEW OR REPLACE SERVICE CHANGE","FINALED","A REPLAT OF CLUB CREST CONDOMI...","7815 ALLISON WAY 308","REPLACE PANEL (125 AMPS) IN UN...","317.79","","CREATIVE ELECTRIC INC","DRO:2009280229302178"
"CMIS20-00145","09/28/2020","10/12/2020","07/13/2021","10/05/2021","","COMMMISC","MECHANICAL","FINALED","ST. ELIAS MINOR SUBDIVISION","7580 PIERCE ST","NEW EXHAUST FAN WITH SHUTTER W...","5000","","AERO CONSTRUCTORS","DRO:2009280407132722"
"CMIS20-00098","09/25/2020","09/25/2020","10/01/2020","11/04/2020","","COMMERCIAL ELECTRICAL","NEW OR REPLACE SERVICE CHANGE","FINALED","A REPLAT OF CLUB CREST CONDOMI...","7809 ALLISON WAY 101","REPLACE PANEL (125 AMPS) IN UN...","317.79","","CREATIVE ELECTRIC INC","DRO:2009250252261688"
"CMIS20-00099","09/25/2020","09/25/2020","10/01/2020","12/23/2020","","COMMERCIAL ELECTRICAL","NEW OR REPLACE SERVICE CHANGE","FINALED","A REPLAT OF CLUB CREST CONDOMI...","7809 ALLISON WAY 201","REPLACE PANEL (125 AMPS) IN UN...","317.79","","CREATIVE ELECTRIC INC","DRO:2009250255561724"
"CMIS20-00101","09/25/2020","09/25/2020","10/01/2020","12/21/2020","","COMMERCIAL ELECTRICAL","NEW OR REPLACE SERVICE CHANGE","FINALED","A REPLAT OF CLUB CREST CONDOMI...","7809 ALLISON WAY 301","REPLACE PANEL (125 AMPS) IN UN...","317.79","","CREATIVE ELECTRIC INC","DRO:2009250301391766"
"CMIS20-00102","09/25/2020","09/25/2020","10/01/2020","12/30/2020","","COMMERCIAL ELECTRICAL","NEW OR REPLACE SERVICE CHANGE","FINALED","A REPLAT OF CLUB CREST CONDOMI...","7809 ALLISON WAY 102","REPLACE PANEL (125 AMPS) IN UN...","317.79","","CREATIVE ELECTRIC INC","DRO:2009250303501790"
"CMIS20-00103","09/25/2020","09/25/2020","10/01/2020","01/04/2021","","COMMERCIAL ELECTRICAL","NEW OR REPLACE SERVICE CHANGE","FINALED","A REPLAT OF CLUB CREST CONDOMI...","7809 ALLISON WAY 202","REPLACE PANEL (125 AMPS) IN UN...","317.79","","CREATIVE ELECTRIC INC","DRO:2009250305001803"
"CMIS20-00104","09/25/2020","09/25/2020","10/01/2020","12/30/2020","","COMMERCIAL ELECTRICAL","NEW OR REPLACE SERVICE CHANGE","FINALED","A REPLAT OF CLUB CREST CONDOMI...","7809 ALLISON WAY 302","REPLACE PANEL (125 AMPS) IN UN...","317.79","","CREATIVE ELECTRIC INC","DRO:2009250306071817"
"CMIS20-00105","09/25/2020","09/25/2020","10/01/2020","12/21/2020","","COMMERCIAL ELECTRICAL","NEW OR REPLACE SERVICE CHANGE","FINALED","A REPLAT OF CLUB CREST CONDOMI...","7809 ALLISON WAY 103","REPLACE PANEL (125 AMPS) IN UN...","317.79","","CREATIVE ELECTRIC INC","DRO:2009250310351842"
"CMIS20-00106","09/25/2020","09/25/2020","10/01/2020","12/21/2020","","COMMERCIAL ELECTRICAL","NEW OR REPLACE SERVICE CHANGE","FINALED","A REPLAT OF CLUB CREST CONDOMI...","7809 ALLISON WAY 203","REPLACE PANEL (125 AMPS) IN UN...","317.79","","CREATIVE ELECTRIC INC","DRO:2009250311511860"
"CMIS20-00107","09/25/2020","09/25/2020","10/01/2020","12/21/2020","","COMMERCIAL ELECTRICAL","NEW OR REPLACE SERVICE CHANGE","FINALED","A REPLAT OF CLUB CREST CONDOMI...","7809 ALLISON WAY 303","REPLACE PANEL (125 AMPS) IN UN...","317.79","","CREATIVE ELECTRIC INC","DRO:2009250312501873"
"CMIS20-00108","09/25/2020","09/25/2020","10/01/2020","12/30/2020","","COMMERCIAL ELECTRICAL","NEW OR REPLACE SERVICE CHANGE","FINALED","A REPLAT OF CLUB CREST CONDOMI...","7809 ALLISON WAY 104","REPLACE PANEL (125 AMPS) IN UN...","317.79","","CREATIVE ELECTRIC INC","DRO:2009250314061889"
"CMIS20-00109","09/25/2020","09/25/2020","10/01/2020","11/04/2020","","COMMERCIAL ELECTRICAL","NEW OR REPLACE SERVICE CHANGE","FINALED","A REPLAT OF CLUB CREST CONDOMI...","7809 ALLISON WAY 204","REPLACE PANEL (125 AMPS) IN UN...","317.79","","CREATIVE ELECTRIC INC","DRO:2009250315021905"
"CMIS20-00110","09/25/2020","09/25/2020","10/01/2020","","06/28/2021","COMMERCIAL ELECTRICAL","NEW OR REPLACE SERVICE CHANGE","FINALED","A REPLAT OF CLUB CREST CONDOMI...","7809 ALLISON WAY 304","REPLACE PANEL (125 AMPS) IN UN...","317.79","","CREATIVE ELECTRIC INC","DRO:2009250316041921"
"CMIS20-00111","09/25/2020","09/25/2020","10/01/2020","12/28/2020","","COMMERCIAL ELECTRICAL","NEW OR REPLACE SERVICE CHANGE","FINALED","A REPLAT OF CLUB CREST CONDOMI...","7809 ALLISON WAY 105","REPLACE PANEL (125 AMPS) IN UN...","317.79","","CREATIVE ELECTRIC INC","DRO:2009250317111937"
"CMIS20-00112","09/25/2020","09/25/2020","10/01/2020","01/22/2021","","COMMERCIAL ELECTRICAL","NEW OR REPLACE SERVICE CHANGE","FINALED","A REPLAT OF CLUB CREST CONDOMI...","7809 ALLISON WAY 205","REPLACE PANEL (125 AMPS) IN UN...","317.79","","CREATIVE ELECTRIC INC","DRO:2009250318231950"
"CMIS20-00113","09/25/2020","09/25/2020","10/01/2020","12/28/2020","","COMMERCIAL ELECTRICAL","NEW OR REPLACE SERVICE CHANGE","FINALED","A REPLAT OF CLUB CREST CONDOMI...","7809 ALLISON WAY 305","REPLACE PANEL (125 AMPS) IN UN...","317.79","","CREATIVE ELECTRIC INC","DRO:2009250320451967"
"CMIS20-00114","09/25/2020","09/25/2020","10/01/2020","01/06/2021","","COMMERCIAL ELECTRICAL","NEW OR REPLACE SERVICE CHANGE","FINALED","A REPLAT OF CLUB CREST CONDOMI...","7809 ALLISON WAY 106","REPLACE PANEL (125 AMPS) IN UN...","317.79","","CREATIVE ELECTRIC INC","DRO:2009250321541987"
"CMIS20-00115","09/25/2020","09/25/2020","10/01/2020","","07/07/2021","COMMERCIAL ELECTRICAL","NEW OR REPLACE SERVICE CHANGE","FINALED","A REPLAT OF CLUB CREST CONDOMI...","7809 ALLISON WAY 206","REPLACE PANEL (125 AMPS) IN UN...","317.79","","CREATIVE ELECTRIC INC","DRO:2009250323222008"
"CMIS20-00116","09/25/2020","09/25/2020","10/01/2020","01/06/2021","","COMMERCIAL ELECTRICAL","NEW OR REPLACE SERVICE CHANGE","FINALED","A REPLAT OF CLUB CREST CONDOMI...","7809 ALLISON WAY 306","REPLACE PANEL (125 AMPS) IN UN...","317.79","","CREATIVE ELECTRIC INC","DRO:2009250324382025"
"CMIS20-00117","09/25/2020","09/25/2020","10/01/2020","12/23/2020","","COMMERCIAL ELECTRICAL","NEW OR REPLACE SERVICE CHANGE","FINALED","A REPLAT OF CLUB CREST CONDOMI...","7809 ALLISON WAY 107","REPLACE PANEL (125 AMPS) IN UN...","317.79","","CREATIVE ELECTRIC INC","DRO:2009250327062047"
"CMIS20-00118","09/25/2020","09/25/2020","10/01/2020","01/11/2021","","COMMERCIAL ELECTRICAL","NEW OR REPLACE SERVICE CHANGE","FINALED","A REPLAT OF CLUB CREST CONDOMI...","7809 ALLISON WAY 207","REPLACE PANEL (125 AMPS) IN UN...","317.79","","CREATIVE ELECTRIC INC","DRO:2009250328052066"
"CMIS20-00119","09/25/2020","09/25/2020","10/01/2020","12/28/2020","","COMMERCIAL ELECTRICAL","NEW OR REPLACE SERVICE CHANGE","FINALED","A REPLAT OF CLUB CREST CONDOMI...","7809 ALLISON WAY 307","REPLACE PANEL (125 AMPS) IN UN...","317.79","","CREATIVE ELECTRIC INC","DRO:2009250329112079"
"CMIS20-00120","09/25/2020","09/25/2020","10/01/2020","01/06/2021","","COMMERCIAL ELECTRICAL","NEW OR REPLACE SERVICE CHANGE","FINALED","A REPLAT OF CLUB CREST CONDOMI...","7809 ALLISON WAY 108","REPLACE PANEL (125 AMPS) IN UN...","317.79","","CREATIVE ELECTRIC INC","DRO:2009250330022092"
"CMIS20-00121","09/25/2020","09/25/2020","10/01/2020","03/22/2021","","COMMERCIAL ELECTRICAL","NEW OR REPLACE SERVICE CHANGE","FINALED","A REPLAT OF CLUB CREST CONDOMI...","7809 ALLISON WAY 208","REPLACE PANEL (125 AMPS) IN UN...","317.79","","CREATIVE ELECTRIC INC","DRO:2009250330582105"
"CMIS20-00122","09/25/2020","09/25/2020","10/01/2020","01/06/2021","","COMMERCIAL ELECTRICAL","NEW OR REPLACE SERVICE CHANGE","FINALED","A REPLAT OF CLUB CREST CONDOMI...","7809 ALLISON WAY 308","REPLACE PANEL (125 AMPS) IN UN...","317.79","","CREATIVE ELECTRIC INC","DRO:2009250332062118"
"BKFL20-00007","09/24/2020","09/25/2020","09/28/2020","","03/27/2021","BACKFLOW DEVICE","RESIDENTIAL","EXPIRED","RALSTON ESTATES FILING NO. 4","6434 ZINNIA ST","Replacing interior sprinkler p...","700","","TYCO PLUMBING CORPORATION","ECON:200924024136564"
"CMIS20-00096","09/21/2020","10/08/2020","10/09/2020","10/15/2020","","COMMERCIAL MECHANICAL","GAS SERVICE","FINALED","GRACE CHURCH MINOR SUBDIVISION","6969 SHERIDAN BLVD","gas line and hanging heater","9515","","FIREPLACE AND GRILL EXPERTS","ECON:200921104420306"
"ADU20-00025","09/18/2020","11/11/2020","11/11/2020","03/14/2022","","ADU","A","FINALED","","8447 W 51ST AVE","NEW DETACHED GARAGE WITH 1137 ...","250000","","FEDERGREEN BOBBIE L","JSUK:200918041624205"
"CMIS20-00095","09/18/2020","04/12/2021","07/13/2021","","01/09/2022","COMMMISC","MECHANICAL","EXPIRED","RALSTON VALLEY HIGH SCHOOL SUB...","13900 W 80TH AVE","NEW OCULUS DOME CAP W/EXHAUST ...","7500","","AERO CONSTRUCTORS","DRO:2009180404142117"
"CMIS20-00094","09/16/2020","09/16/2020","09/16/2020","09/18/2020","","COMMMISC","PLUMBING","FINALED","2ND REPLAT OF LOT 4 NORTH PARK...","6530 WADSWORTH BLVD","REPAIR SEWER SERVICE LINE IN P...","1900","","PROFESSIONAL SEWER EXCAVATION","AH:2009160254522342"
"CMIS20-00091","09/15/2020","09/15/2020","09/18/2020","10/07/2020","","COMMERCIAL ELECTRICAL","NEW OR REPLACE SERVICE CHANGE","FINALED","MAP OF FISKS ARVADA PLACE","6161 WADSWORTH BLVD","Streets Maint Facility - 1:1 l...","8520","","Northwest Edison","ECON:200915102855905"
"CMIS20-00092","09/15/2020","09/24/2020","09/28/2020","09/30/2020","","COMMMISC","PLUMBING","FINALED","ARVADA WATER TOWER DISTRICT","7931 W 55TH AVE 306","REMOVE BATH TUB AND PUT IN SHO...","9000","","MONACO ROBERTA","DRO:2009151144091613"
"CMIS20-00093","09/15/2020","09/15/2020","09/15/2020","10/26/2020","","COMMERCIAL ELECTRICAL","NEW OR REPLACE SERVICE CHANGE","FINALED","A REPLAT OF CLUB CREST CONDOMI...","7845 ALLISON WAY 205","REPLACE PANEL (125 AMPS) IN UN...","317.79","","CREATIVE ELECTRIC INC","DRO:2009151209401722"
"CMIS20-00086","09/10/2020","09/10/2020","09/14/2020","10/26/2020","","COMMERCIAL ELECTRICAL","NEW OR REPLACE SERVICE CHANGE","FINALED","A REPLAT OF CLUB CREST CONDOMI...","7845 ALLISON WAY 101","REPLACE PANEL (125 AMPS) IN UN...","317.79","","CREATIVE ELECTRIC INC","DRO:2009100150471401"
"CMIS20-00087","09/10/2020","09/10/2020","09/14/2020","10/26/2020","","COMMERCIAL ELECTRICAL","NEW OR REPLACE SERVICE CHANGE","FINALED","A REPLAT OF CLUB CREST CONDOMI...","7815 ALLISON WAY 105","REPLACE PANEL (125 AMPS) IN UN...","317.79","","CREATIVE ELECTRIC INC","DRO:2009100153181423"
"CMIS20-00088","09/10/2020","09/10/2020","09/14/2020","09/18/2020","","COMMERCIAL ELECTRICAL","NEW OR REPLACE SERVICE CHANGE","FINALED","A REPLAT OF CLUB CREST CONDOMI...","7801 ALLISON WAY 205","REPLACE PANEL (125 AMPS) IN UN...","317.79","","CREATIVE ELECTRIC INC","DRO:2009100155121437"
"CMIS20-00089","09/10/2020","09/10/2020","09/14/2020","09/18/2020","","COMMERCIAL ELECTRICAL","NEW OR REPLACE SERVICE CHANGE","FINALED","A REPLAT OF CLUB CREST CONDOMI...","7801 ALLISON WAY 208","REPLACE PANEL (125 AMPS) IN UN...","317.79","","CREATIVE ELECTRIC INC","DRO:2009100158521456"
"CMIS20-00090","09/10/2020","09/10/2020","09/14/2020","10/26/2020","","COMMERCIAL ELECTRICAL","NEW OR REPLACE SERVICE CHANGE","FINALED","A REPLAT OF CLUB CREST CONDOMI...","7801 ALLISON WAY 102","REPLACE PANEL (125 AMPS) IN UN...","317.79","","CREATIVE ELECTRIC INC","DRO:2009100201231479"
"APLT20-00003","09/08/2020","09/11/2020","09/11/2020","10/13/2020","","ASPHALT PATCH","","CLOSED","PARKWAY CENTER SUBDIVISION FIL...","14250 W 67TH AVE","JOB#3542 - BEAR MT ACCESS - PA...","6122.6","","STRAIGHT LINE SAWCUTTING, INC.","EW:2009081235001382"
"BKFL20-00006","08/31/2020","08/31/2020","09/01/2020","09/09/2022","","BACKFLOW DEVICE","RESIDENTIAL","FINALED","NORTHRIDGE SUBDIVISION","6439 XAVIER ST","INSTALLATION OF BACKFLOW DEVIC...","158.38","","HOKANSON RAYMOND JR AND","DRO:2008310143572056"
"CMIS20-00084","08/28/2020","08/28/2020","09/04/2020","10/26/2020","","COMMERCIAL ELECTRICAL","NEW OR REPLACE SERVICE CHANGE","FINALED","A REPLAT OF CLUB CREST CONDOMI...","7825 ALLISON WAY 103","REPLACE PANEL (125 AMPS) IN UN...","317.79","","CREATIVE ELECTRIC INC","DRO:2008280929110304"
"CMIS20-00085","08/28/2020","08/28/2020","09/04/2020","09/18/2020","","COMMERCIAL ELECTRICAL","NEW OR REPLACE SERVICE CHANGE","FINALED","A REPLAT OF CLUB CREST CONDOMI...","7825 ALLISON WAY 306","REPLACE PANEL (125 AMPS) IN UN...","317.79","","CREATIVE ELECTRIC INC","DRO:2008281124590637"
"CMIS20-00083","08/27/2020","09/27/2020","08/27/2020","11/25/2020","","COMMERCIAL ELECTRICAL","NEW OR REPLACE SERVICE CHANGE","FINALED","A REPLAT OF CLUB CREST CONDOMI...","7815 ALLISON WAY 103","REPLACE PANEL (125 AMPS) IN UN...","317.79","","CREATIVE ELECTRIC INC","DRO:2008271058390742"
"CMIS20-00077","08/21/2020","08/21/2020","08/27/2020","08/28/2020","","COMMERCIAL ELECTRICAL","NEW OR REPLACE SERVICE CHANGE","FINALED","A REPLAT OF CLUB CREST CONDOMI...","7845 ALLISON WAY 107","REPLACE PANEL (125 AMPS) IN UN...","317.79","","CREATIVE ELECTRIC INC","DRO:2008210914250426"
"CMIS20-00078","08/21/2020","08/21/2020","08/27/2020","08/28/2020","","COMMERCIAL ELECTRICAL","NEW OR REPLACE SERVICE CHANGE","FINALED","A REPLAT OF CLUB CREST CONDOMI...","7819 ALLISON WAY 105","REPLACE PANEL (125 AMPS) IN UN...","317.79","","CREATIVE ELECTRIC INC","DRO:2008210918190519"
